fecha,trimestre,accion,activo_total,pasivo_corriente,activo_corriente,activo_tangible,ingreso_neto,p_vl,resultado_bruto,ebitda,ciclo_operativo,capital_trabajo,gastos_admin,costo_ventas,plazo_proveedor,inventario,pasivo_total,cuentas_xcobrar,cuentas_xpagar,utilidad_neta
2005-01-01,1T2005,Besalco S.A. Ord,168168979,62145369,75049658,36327779,36741783,1.0307309394,2800636,9440408,169.627169,12904289,0,33941147,0,22544879,0,33158216,5702760,1258014
2005-01-01,1T2005,Salfacorp S.A. Ord,98815468,31779999,69970666,9630018,31645367,1.7124667478,3833172,0,0,38190667,0,27812195,0,27426578,0,31802784,23966,960097
2005-04-01,2T2005,Besalco S.A. Ord,199215018,64143741,80559106,57923228,71018217,0.95171982526,6419603,10010225,148.31435035,16415365,0,64598614,0,22076540,0,33333934,2920409,2601868
2005-04-01,2T2005,Salfacorp S.A. Ord,104540784,37016721,75031000,9680411,84283025,1.6125941094,9075223,8412746,126.29898039,38014279,0,75207802,0,27099930,0,34824015,23966,2083006
2005-07-01,3T2005,Besalco S.A. Ord,208683076,70071078,81356203,58948582,108225923,0.95733978072,11389056,13501000,152.32120799,11285125,0,96836867,0,19212590,0,41774753,5603731,4290735
2005-07-01,3T2005,Salfacorp S.A. Ord,110606575,40400275,81614480,9866677,149255323,1.5906468775,17025250,11265802,124.09514625,41214205,0,132230073,0,25819576,0,41063282,115396,4638888
2005-10-01,4T2005,Besalco S.A. Ord,216536298,80663850,89215641,60724636,167406861,0.96408561373,15894815,12041228,141.48901897,8551791,0,151512046,0,17793730,0,46134657,5227239,6752135
2005-10-01,4T2005,Salfacorp S.A. Ord,115513805,43491906,84843653,10078663,230909770,1.3900898524,24264610,12410909,111.74164859,41351747,0,206645160,0,30465542,0,37630029,2776510,6853111
2006-01-01,1T2006,Besalco S.A. Ord,201659690,59344443,75130217,59972537,31594899,0.91257404079,3581173,12918475,113.32844191,15785774,0,28013726,0,18853295,0,30066877,4302266,1306387
2006-01-01,1T2006,Salfacorp S.A. Ord,109914404,41458235,76942263,9926032,54861259,1.6033843843,6568512,14359901,93.319077185,35484028,0,48292747,0,27779725,0,34792281,638056,2210342
2006-04-01,2T2006,Besalco S.A. Ord,195077003,52482092,69063461,61422248,61079347,0.91284770892,6793268,12811403,122.65005827,16581369,0,54286079,0,18604476,0,32900481,3637448,3503888
2006-04-01,2T2006,Salfacorp S.A. Ord,112333776,42540415,78196892,10468145,118730781,1.658069999,13546365,15962849,91.87503187,35656477,0,105184416,0,30979262,0,32980039,1150891,4783453
2006-07-01,3T2006,Besalco S.A. Ord,200466572,55012363,69083983,64430117,84561110,1.062416709,8352729,10775743,122.31152872,14071620,0,76208381,0,19441275,0,27485713,3437131,5020990
2006-07-01,3T2006,Salfacorp S.A. Ord,119081632,42221758,78635671,10959290,182189268,1.7491365412,20860698,15196991,96.003648547,36413913,0,161328570,0,31053005,0,35606552,1352843,7111886
2006-10-01,4T2006,Besalco S.A. Ord,195762479,48853086,67841300,66042205,110343051,1.1883419585,13897757,13132940,162.14619919,18988214,0,96445294,0,19843895,0,26995786,3503756,8885620
2006-10-01,4T2006,Salfacorp S.A. Ord,131788152,51184179,89856537,11987480,261843274,1.9624856659,29695087,16535303,107.89984035,38672358,0,232148187,0,30202878,0,44413872,2300324,10840943
2007-01-01,1T2007,Besalco S.A. Ord,199480556,49802255,68230307,69933704,21647262,1.5599808143,2690252,13171254,180.28818805,18428052,0,18957010,0,21934835,0,25078480,2655196,1602081
2007-01-01,1T2007,Salfacorp S.A. Ord,136848084,56343336,92169556,12904234,61772181,2.8942186986,7915702,16460112,107.90462823,35826220,0,53856479,0,32109722,0,44252200,2129158,2865876
2007-04-01,2T2007,Besalco S.A. Ord,206722275,54037956,73767043,72600693,52527696,2.1989863918,7976883,16112120,203.07716519,19729087,0,44550813,0,22294272,0,31248970,2342770,6200781
2007-04-01,2T2007,Salfacorp S.A. Ord,148299693,61319987,101055616,14255714,148140382,3.643989017,18202466,18362931,100.66477693,39735629,0,129937916,0,33915524,0,42990922,1332816,7047709
2007-04-01,2T2007,Socovesa S.A. Ord,274316583,144380366,176105126,15752517,60355307,0,12048649,0,0,31724760,0,48306658,0,135151460,0,24271039,2230599,2863559
2007-07-01,3T2007,Besalco S.A. Ord,227953453,67811652,83160941,82483749,89580832,2.0256280953,13500500,20084869,201.53522474,15349289,0,76080332,0,24980797,0,34661959,3453242,9652621
2007-07-01,3T2007,Salfacorp S.A. Ord,171125508,77746476,115920765,15616894,226749302,4.1959253557,29308157,20586423,119.53517016,38174289,0,197441145,0,43650370,0,51882030,1311684,10897208
2007-07-01,3T2007,Socovesa S.A. Ord,455094910,257843097,254979027,22035099,99844375,0,19998382,0,0,-2864070,0,79845993,0,200947529,0,20292045,2459131,5122006
2007-10-01,4T2007,Besalco S.A. Ord,269265236,97131685,129468360,95875752,140423578,1.8303811129,19241664,21567510,192.80154165,32336675,0,121181914,0,29152132,0,41424225,12242850,12200898
2007-10-01,4T2007,Salfacorp S.A. Ord,430377017,193385644,270402971,25985501,379639631,2.1687970323,61868640,35693727,236.77197322,77017327,0,317770991,0,130130020,0,94223184,3297530,21825266
2007-10-01,4T2007,Socovesa S.A. Ord,481913310,211965214,267425728,23857358,185323996,1.374907053,35846279,23736292,536.04006975,55460514,0,149477717,0,188782411,0,41893110,2587251,15881769
2008-01-01,1T2008,Besalco S.A. Ord,292751036,108010050,141577376,108408908,45059533,1.8328539409,3738720,23970140,175.20715566,33567326,0,41320813,0,29518609,0,46045650,13017214,1750622
2008-01-01,1T2008,Salfacorp S.A. Ord,471004858,230735655,301569039,26961208,98214361,1.8806245565,14114630,38745044,236.68146063,70833384,0,84099731,0,138693341,0,107732206,1219062,3045007
2008-01-01,1T2008,Socovesa S.A. Ord,481464210,213983534,258341388,23801073,31346214,1.1151529943,6192319,0,0,44357854,0,25153895,0,205529689,0,19512427,7651269,-500732
2008-04-01,2T2008,Besalco S.A. Ord,303848128,111207523,144040991,116447017,93007097,1.5854463459,6536256,22571228,144.21068484,32833468,0,86470841,0,35564116,0,33021459,14083589,3802578
2008-04-01,2T2008,Salfacorp S.A. Ord,567417519,280795215,351108724,28209144,241636441,1.5162756085,27758071,38609383,239.61787406,70313509,0,213878370,0,164758840,0,120868637,2464859,5641312
2008-04-01,2T2008,Socovesa S.A. Ord,519655363,255483736,281490282,22330098,86582872,0.95665908166,16297964,26699767,504.70804595,26006546,0,70284908,0,219702550,0,25507483,6932467,1943132
2008-07-01,3T2008,Besalco S.A. Ord,303785316,98295793,127147214,126341727,152184178,1.1306123627,14697509,26863798,157.48815866,28851421,0,137486669,0,39145989,0,45289665,4836647,6812680
2008-07-01,3T2008,Salfacorp S.A. Ord,589289102,281534479,370934067,32138963,412638442,1.0822547729,51049970,47732260,206.93854247,89399588,0,361588472,0,167409533,0,128628237,925588,11087108
2008-07-01,3T2008,Socovesa S.A. Ord,541982135,273062627,285288849,23283591,145825143,0.76963372324,24335473,24759678,461.77965733,12226222,0,121489670,0,228680484,0,19938869,10200787,2095842
2008-10-01,4T2008,Besalco S.A. Ord,332152717,119399515,142869419,130378975,218865969,0.83167957217,25304056,34217193,168.40223817,23469904,0,193561913,0,43625299,0,53053629,9237585,11729635
2008-10-01,4T2008,Salfacorp S.A. Ord,607575370,269005436,367247003,28285581,607433183,0.90910890169,76284560,40821359,195.61818602,98241567,0,531148623,0,174592227,0,130401892,623565,16520878
2008-10-01,4T2008,Socovesa S.A. Ord,562320297,277931614,283012747,23158000,213388709,0.49514027287,38992201,22190774,501.53397478,5081133,0,174396508,0,222131827,0,25485602,3258448,8025788
2009-01-01,1T2009,Besalco S.A. Ord,318919944,99935138,141078223,122766311,62795721,1.0822998826,5961137,37562861,155.92402062,41143085,0,56834584,0,42762683,0,54084936,7839565,2219815
2009-01-01,1T2009,Salfacorp S.A. Ord,592525231,268370527,353259573,27290366,126992845,0.78809126093,14362577,40444571,179.60881153,84889046,0,112630268,0,177560254,0,115574033,755976,220524
2009-01-01,1T2009,Socovesa S.A. Ord,547369510,278005969,272496435,22249270,31197716,0.6621477304,4445513,20233030,482.5896632,-5509534,0,26752203,0,221883503,0,17014007,3255442,-7313268
2009-04-01,2T2009,Besalco S.A. Ord,316884604,97677904,140307924,123666409,126307762,1.4530109735,14142291,43288591,141.02318232,42630020,0,112165471,0,39108699,0,53802645,6678188,8098584
2009-04-01,2T2009,Salfacorp S.A. Ord,575278459,204634139,352519339,25213589,254044296,1.4091763344,25755337,39933536,184.59345698,147885200,0,228288959,0,181157182,0,112006404,1142957,573807
2009-04-01,2T2009,Socovesa S.A. Ord,539113964,267746659,268467567,21926389,77521541,0.91381409937,12964021,19246255,505.70824419,720908,0,64557520,0,217274881,0,23819028,0,-6863276
2009-07-01,3T2009,Besalco S.A. Ord,318052657,89882242,140486722,121756863,180150390,1.4935946533,20654585,42107283,146.95953515,50604480,0,159495805,0,39317251,0,55743203,5149634,11467452
2009-07-01,3T2009,Salfacorp S.A. Ord,563526546,186617018,346984483,24416444,399716752,1.617500955,40419450,33108085,183.94251547,160367465,0,359297302,0,163604569,0,119851540,360488,3700185
2009-07-01,3T2009,Socovesa S.A. Ord,542129930,281574393,281417003,21515634,119641950,1.2421565761,20868506,20859038,590.24210789000006,-157390,0,98773444,0,226980517,0,26793024,0,-6167045
2009-10-01,4T2009,Besalco S.A. Ord,316324341,80306668,142059328,120606080,248901456,1.4151400616,29641816,40398740,141.74697337,61752660,0,219259640,0,33085974,0,60443973,5710359,17136013
2009-10-01,4T2009,Salfacorp S.A. Ord,526800555,163338443,322737350,27880614,569059333,1.9729764218,67790020,32894140,184.55695116,159398907,37631958,501269313,54.71741415,131194800,0,142795777,868216,7321166
2009-10-01,4T2009,Socovesa S.A. Ord,560680916,289698675,298370306,21121144,204931241,1.0807733138,35541447,19488208,553.31357091,8671631,0,169389794,0,212598340,0,57769833,0,1540937
2010-01-01,1T2010,Besalco S.A. Ord,312944362,96252589,153266830,64431292,49147061,2.081510961,5622547,0,140.15552142,57014241,2515824,43524514,61.960532571,38964866,176783331,47079905,6723232,2080309
2010-01-01,1T2010,Salfacorp S.A. Ord,529574114,163871210,320861524,30165745,120868663,2.6007825405,14807937,31975145,187.0020399,156990314,9560870,106060726,44.750469472,130447232,348348361,143976528,1088635,2216778
2010-01-01,1T2010,Socovesa S.A. Ord,557841473,305895112,365726746,21247413,39805605,1.4877017903,7213186,0,672.41738045,59831634,5487440,32592419,93.107896073,281510775,351368002,55798752,14624166,154398
2010-04-01,2T2010,Besalco S.A. Ord,317750107,99129506,153855042,67187249,107757082,2.2274267179,14619468,0,186.23311387,54725536,5861273,93137614,75.293824857,51351966,180332728,60087367,8523659,6180326
2010-04-01,2T2010,Salfacorp S.A. Ord,524641270,159089371,310729055,31601989,302038742,2.6329793965,30417278,32289502,160.68704555,151639684,19834175,271621464,35.448917727,123900779,340968100,135039632,955579,4875320
2010-04-01,2T2010,Socovesa S.A. Ord,550208641,297708731,356097612,20450347,101587271,1.4606231112,20579684,0,613.84686755,58388881,13117850,81007587,80.373688398,273257849,340377533,53753836,14605254,3065841
2010-07-01,3T2010,Besalco S.A. Ord,324997285,98331632,161689547,65001856,173270524,3.1632226401,22556613,0,186.25471139,63357915,8498151,150713911,82.234841873,53166279,184145296,64081532,8500889,10017056
2010-07-01,3T2010,Salfacorp S.A. Ord,546539535,140155988,333573100,32769583,469538880,2.9580709385,50834588,33971844,168.52111984,193417112,31178260,418704292,40.746851468,125468492,359764572,156100207,615997,10101725
2010-07-01,3T2010,Socovesa S.A. Ord,558653995,305443577,360769733,20582660,167668383,1.6191422318,33693823,0,569.40179913,55326156,20725065,133974560,84.236348917,277344884,347348819,57184774,14665967,7360217
2010-10-01,4T2010,Besalco S.A. Ord,332195607,102789610,172754508,62248543,251563335,4.095570262,31132183,0,186.26063766,69964898,9980452,220431152,75.607057028,54640201,186537952,67799312,9310408,17062243
2010-10-01,4T2010,Salfacorp S.A. Ord,533907762,126055375,318662029,33472474,708381670,3.5385188328,80400896,41572694,143.42690034,192606654,40579940,627980774,43.628557648,111017261,338717858,156994072,656372,22121694
2010-10-01,4T2010,Sociedad Concesionaria San Jose-Tecnocontrol S.A. Ord,12804611,1505560,6840296,23364,5806004,0,733395,129964,0,5334736,376385,5072609,58.240893394,0,1520561,0,676482,141960
2010-10-01,4T2010,Socovesa S.A. Ord,584315703,328040941,388483816,20339811,257982452,2.1292323677,47603579,0,606.78273639,60442875,27797622,210378873,109.31015188,302198373,368440073,64252931,14373280,11720166
2011-01-01,1T2011,Besalco S.A. Ord,348475833,113513229,178453324,69963140,68508416,3.6891239847,5104224,0,188.77355371,64940095,2632929,63404192,78.151782673,60074135,197632361,74337901,13828528,3688104
2011-01-01,1T2011,Salfacorp S.A. Ord,545323195,138652409,327686068,33473065,169741707,3.5414310164,18724070,44879354,132.3981724,189033659,10139324,151017637,43.957939612,106165571,347810277,159029820,960773,3536465
2011-01-01,1T2011,Socovesa S.A. Ord,591340572,336964109,393195159,20284372,42307959,2.1026173394,6074201,0,601.34066949,56231050,6141919,36233758,123.42485503,323164929,377491626,41786158,14738431,-1923173
2011-04-01,2T2011,Besalco S.A. Ord,358515878,117899008,165416614,85471120,133373277,3.3336598004,13034261,0,178.80662202,47517606,5912061,120339016,78.72643562,65651903,207691572,64185587,7760588,6551520
2011-04-01,2T2011,Salfacorp S.A. Ord,749227996,209943400,459711316,72410178,374101437,3.0293746448,42656055,50211662,181.305111,249767916,24136620,331445382,57.527196165,160139665,485810223,211342830,12016840,7195050
2011-04-01,2T2011,Socovesa S.A. Ord,623827034,355055776,415532160,20583419,116736375,1.7666692829,19659869,0,599.1069785,60476384,13935176,97076506,112.05233654,333955340,409772320,51739204,18969614,-67967
2011-07-01,3T2011,Besalco S.A. Ord,398625985,140462593,192021970,88157308,218925975,2.4482135516,23567460,0,180.74105285,51559377,9104214,195358515,63.358679848,59484171,241537564,82524003,12234684,12095683
2011-07-01,3T2011,Salfacorp S.A. Ord,792004228,249941643,480826972,73809627,599783766,2.2851735012,64616834,53737985,180.13029535,230885329,33675082,535166932,53.431899983,183111505,523113535,213338975,8343459,10621787
2011-07-01,3T2011,Socovesa S.A. Ord,645019165,382030260,432311735,20398607,197067989,0.96467354652,33744486,0,582.56539431,50281475,21230047,163323503,101.77775214,343377730,429392579,53416341,16302911,1645746
2011-10-01,4T2011,Besalco S.A. Ord,423213726,153025793,209601611,97765295,321612671,2.6153321315,39053465,0,184.79490382,56575818,13110095,282559206,70.173648209,65853727,257549155,90134358,14838380,19501325
2011-10-01,4T2011,Inmobiliaria Manquehue S.A. Ord,301267.594,67307.177,102294.712,5840.895,68369.991,0,18276.65,0,585.76683866,34987.535,9103.544,50093.341,102.71478997,69189.473,167351.942,16813.488,432.801,1974.828
2011-10-01,4T2011,Salfacorp S.A. Ord,781932850,239456144,460653286,74313100,901464970,2.1201280868,85522405,42669831,144.67546238,221197142,49061955,815942565,60.566862767,160828611,508683929,184591652,7305157,15932582
2011-10-01,4T2011,Sociedad Concesionaria San Jose-Tecnocontrol S.A. Ord,74752355,6304372,36827513,21791,31962892,0,6594543,4576798,0,30523141,1919674,25368349,10.746252347,0,68786267,0,5541111,2930478
2011-10-01,4T2011,Socovesa S.A. Ord,652633474,381840386,443480288,20725695,320929707,1.0029373829,62794419,0,540.78335245,61639902,29722237,258135288,85.794118005,297934666,428537890,111682149,19653714,13653144
2012-01-01,1T2012,Besalco S.A. Ord,440408633,160305635,218838731,104102232,96500934,3.5401050149,0,0,0,58533096,0,0,0,64908098,274410634,102716153,12878445,4578314
2012-01-01,1T2012,Salfacorp S.A. Ord,820778948,279745126,476316758,74768914,208925548,2.1410773476,21525661,43831567,153.34935938,196571632,13043986,187399887,56.4647898,163295503,546445744,220471239,4922236,1992029
2012-01-01,1T2012,Socovesa S.A. Ord,646553164,376988740,434758059,20893854,59093387,1.4703021717,8869447,0,508.78832142,57769319,6890442,50223940,86.383004722,319055105,424709378,81337009,18509251,-2001073
2012-04-01,2T2012,Besalco S.A. Ord,442196865,167431728,248033191,108365539,197284269,3.2515921478,20896246,0,182.66199865,80601463,9113806,176388023,61.447927018,78842294,272005478,105846371,13384508,7358691
2012-04-01,2T2012,Salfacorp S.A. Ord,896216468,387729273,525499672,76687798,471603660,1.6825444107,48019321,49084952,162.98234879,137770399,25722164,423584339,48.222715625,179477940,618155798,254820110,6344910,6112229
2012-04-01,2T2012,Socovesa S.A. Ord,667750378,403335418,451896479,20608982,109766939,1.2470262672,14726045,0,573.51215729,48561061,16102060,95040894,86.230474731,346880330,452329655,74915760,20258726,-6534031
2012-07-01,3T2012,Besalco S.A. Ord,467096097,190454519,253610056,115081892,289441401,3.0413614968,30946085,0,167.72740118,63155537,12933390,258495316,51.784815322,82179448,293234741,89478821,13334601,11413670
2012-07-01,3T2012,Salfacorp S.A. Ord,950433712,437055371,568209617,77875696,731107565,1.8203671633,71348989,48653528,171.04207998,131154246,39524273,659758576,51.595061121,193750367,668299624,277940549,5715919,9008601
2012-07-01,3T2012,Socovesa S.A. Ord,694979580,442395790,465847011,20500822,164115796,1.2361862856,20802126,0,647.20321229,23451221,24093849,143313670,98.903150358,371182098,481232192,68832303,17456627,-6493357
2012-10-01,4T2012,Besalco S.A. Ord,446708774,150657483,224537799,122946154,385879144,2.948988652,44032276,49924470,170.31495339,73880316,17485817,341846868,61.882015312,68202721,261224591,105570591,9020107,25616574
2012-10-01,4T2012,Empresa Const Moller Y Perez Cotapos S.A. Ord,141585818,80160962,71483072,4826120,128976901,0,15353372,8826562,154.58574156,-8677890,8533356,113623529,91.179154275,16974774,100380335,36114816,1606513,5272845
2012-10-01,4T2012,Inmobiliaria Manquehue S.A. Ord,298208.98,78331.412,131247.784,6666.372,109303.358,0,34613.695,22951.63,520.70054746,52916.372,11106.184,74689.663,77.122098677,84121.893,153803.938,34988.529,257.39,9348.489
2012-10-01,4T2012,Salfacorp S.A. Ord,973415784,403094139,562111091,80201669,1062636126,1.5223167552,92776047,59713595,164.65435012,159016952,57349064,969860079,53.382399256,208521294,668355042,257553004,2815821,23182183
2012-10-01,4T2012,Sociedad Concesionaria Rutas Del Desierto S.A. Ord,34372447,7000539,14834451,103300,12706974,0,0,-288707,0.32696690809,7833912,401808,12706974,15.228651605,0,13501337,11541,6427324,-13977
2012-10-01,4T2012,Sociedad Concesionaria San Jose-Tecnocontrol S.A. Ord,185991277,33330642,61247066,25579,90232593,0,22616360,19917663,25.510391794,27916424,2633889,67616233,2.4849423363,0,171249167,6394080,21635096,10237604
